URSI,avg_degree,max_degree,std_degree,avg_strength,max_strength,total_strength,std_strength,density,avg_edge_weight,clustering_coef,transitivity,avg_betweenness,avg_eigenvector
M87174803,27.34285714285714,55,11.560877023436433,40829.91428571429,168504.5,2858094.0,40050.23826877326,0.39627329192546584,1493.257053291536,0.04383946451150374,0.6571533725910065,0.048846872082166204,0.07128394032482499
M87182922,25.771428571428572,56,11.130615986768117,25226.885714285716,111993.5,1765882.0,21723.299537292645,0.3734989648033126,978.870288248337,0.038676007469458415,0.6349700149925037,0.05063782034552951,0.08060537010484134
M87196591,31.857142857142858,62,12.882197809697043,42194.642857142855,202043.5,2953625.0,39736.1667029405,0.4616977225672878,1324.4955156950673,0.03342816324553235,0.6872979559357437,0.05047750984451751,0.07418405784412663
M87139021,27.685714285714287,58,11.923018382395407,39661.41428571429,144857.5,2776299.0,39236.484456522594,0.4012422360248447,1432.5588235294117,0.037619810055495674,0.6501264837517027,0.04417143669061827,0.0718149325646369
M87129719,28.885714285714286,60,11.669915971227478,35903.385714285716,166258.5,2513237.0,35799.545049700144,0.4186335403726708,1242.9460929772501,0.03226678648621793,0.6613671531296459,0.05689304707390204,0.07591211392445074
M87124781,30.742857142857144,64,12.488492662430955,34977.65714285714,159545.0,2448436.0,34515.38805865569,0.4455486542443064,1137.7490706319702,0.03573509564607468,0.6680369441033581,0.05130093100041949,0.0724392232068801
M87146993,28.82857142857143,57,11.59676239125316,38156.31428571429,167054.5,2670942.0,37387.005541380604,0.4178053830227743,1323.5589692765113,0.0339680217035427,0.6715366314890502,0.05595339585109406,0.07453992217821222
M87159410,25.6,53,10.697663296253065,28950.842857142856,130665.5,2026559.0,27785.79595116166,0.3710144927536232,1130.892299107143,0.032002449735953495,0.6288632088148347,0.05104717249218529,0.07079087640208095
M87150194,27.142857142857142,60,12.097562581287326,42514.28571428572,191357.0,2976000.0,41719.004704397135,0.39337474120082816,1566.3157894736842,0.03370394399462655,0.6445023032245143,0.056866804692891654,0.07070289304790273
M87124633,29.428571428571427,55,11.451227543145666,28394.5,121465.0,1987615.0,28481.19671981599,0.42650103519668736,964.8616504854369,0.03562068260843634,0.6847450621475598,0.056712540088499165,0.06953688181698457
M87153569,31.62857142857143,63,12.529019376256558,34119.95714285714,144973.0,2388397.0,34255.14606342724,0.4583850931677019,1078.7700993676604,0.030520260390952122,0.6775126903553299,0.046738014046198186,0.07492938434449337
M87123913,25.857142857142858,54,10.222224686975943,28405.128571428573,125898.0,1988359.0,26064.232128077867,0.3747412008281574,1098.5408839779006,0.034947517418799125,0.6399648223913127,0.05553322778386717,0.0740727964793836
M87165441,27.4,59,11.523144412132355,36045.614285714284,165627.5,2523193.0,34688.855503416926,0.39710144927536234,1315.5333680917622,0.03919811588454983,0.6669781411646921,0.051134656761255226,0.07232527423096226
M87157827,25.37142857142857,58,9.952991551102942,37301.642857142855,156340.5,2611115.0,34572.267930291724,0.36770186335403726,1470.2224099099099,0.03906592684261927,0.6341949101915648,0.05272804774083547,0.07233217662061521
M87135647,27.0,55,10.936178491593852,31041.4,125052.0,2172898.0,28779.971454815586,0.391304347826087,1149.6814814814816,0.037525505778257626,0.647343163165948,0.052381967279665494,0.0742029989273744
M87162915,28.314285714285713,59,11.503468864580256,35084.75714285715,152480.0,2455933.0,34706.745284572025,0.410351966873706,1239.1185671039354,0.043262366915955,0.6489274447949527,0.04509980320630668,0.07564493097238348
M87187750,24.428571428571427,50,10.753831780308992,24974.385714285716,106736.5,1748207.0,24866.34918335153,0.35403726708074534,1022.3432748538012,0.03512017342610314,0.6215789692262967,0.04977367758697682,0.07158928840579236
M87142764,31.742857142857144,60,14.217379419253762,44592.05714285714,209887.5,3121444.0,45709.929844661514,0.4600414078674948,1404.790279027903,0.034457750103577864,0.7115449915110357,0.05709069134900336,0.07643368509367218
